Quarter,Region,State,Purpose,Trips
2010 Q4,Capital Country,New South Wales,Holiday,123.5121483
2011 Q1,Capital Country,New South Wales,Holiday,145.1526342
2011 Q2,Capital Country,New South Wales,Holiday,94.8954288
2011 Q3,Capital Country,New South Wales,Holiday,90.4128823
2011 Q4,Capital Country,New South Wales,Holiday,93.8439219
2012 Q1,Capital Country,New South Wales,Holiday,123.9597073
2012 Q2,Capital Country,New South Wales,Holiday,112.3950819
2012 Q3,Capital Country,New South Wales,Holiday,120.4497414
2012 Q4,Capital Country,New South Wales,Holiday,128.4937423
2013 Q1,Capital Country,New South Wales,Holiday,106.0498738
2013 Q2,Capital Country,New South Wales,Holiday,78.0697046
2013 Q3,Capital Country,New South Wales,Holiday,96.3222011
2013 Q4,Capital Country,New South Wales,Holiday,114.5248642
2014 Q1,Capital Country,New South Wales,Holiday,95.2830132
2014 Q2,Capital Country,New South Wales,Holiday,114.2280611
2014 Q3,Capital Country,New South Wales,Holiday,75.2696168
2014 Q4,Capital Country,New South Wales,Holiday,104.6498888
2015 Q1,Capital Country,New South Wales,Holiday,103.5842011
2015 Q2,Capital Country,New South Wales,Holiday,92.0903038
2015 Q3,Capital Country,New South Wales,Holiday,96.4049146
2015 Q4,Capital Country,New South Wales,Holiday,128.1617757
2016 Q1,Capital Country,New South Wales,Holiday,122.4442943
2016 Q2,Capital Country,New South Wales,Holiday,146.6063067
2016 Q3,Capital Country,New South Wales,Holiday,81.4183655
2016 Q4,Capital Country,New South Wales,Holiday,108.4887647
2017 Q1,Capital Country,New South Wales,Holiday,122.1162079
2017 Q2,Capital Country,New South Wales,Holiday,92.2393584
2017 Q3,Capital Country,New South Wales,Holiday,74.4816249
2017 Q4,Capital Country,New South Wales,Holiday,137.1128851
1998 Q1,Capital Country,New South Wales,Other,19.89227
1998 Q2,Capital Country,New South Wales,Other,8.9898678
1998 Q3,Capital Country,New South Wales,Other,4.1781563
1998 Q4,Capital Country,New South Wales,Other,5.4630074
1999 Q1,Capital Country,New South Wales,Other,8.2215117
1999 Q2,Capital Country,New South Wales,Other,3.7482322
1999 Q3,Capital Country,New South Wales,Other,9.1585457
1999 Q4,Capital Country,New South Wales,Other,23.4881104
2000 Q1,Capital Country,New South Wales,Other,15.7140464
2000 Q2,Capital Country,New South Wales,Other,15.5868177
2000 Q3,Capital Country,New South Wales,Other,7.9779254
2000 Q4,Capital Country,New South Wales,Other,14.5771443
2001 Q1,Capital Country,New South Wales,Other,2.8278785
2001 Q2,Capital Country,New South Wales,Other,15.6037905
2001 Q3,Capital Country,New South Wales,Other,7.6711267
2001 Q4,Capital Country,New South Wales,Other,54.6569246
2002 Q1,Capital Country,New South Wales,Other,4.7723875
2002 Q2,Capital Country,New South Wales,Other,5.9239418
2002 Q3,Capital Country,New South Wales,Other,7.2968849
2002 Q4,Capital Country,New South Wales,Other,13.9007321
2003 Q1,Capital Country,New South Wales,Other,15.9131868
2003 Q2,Capital Country,New South Wales,Other,17.5460165
2003 Q3,Capital Country,New South Wales,Other,5.9725542
2003 Q4,Capital Country,New South Wales,Other,13.2283357
2004 Q1,Capital Country,New South Wales,Other,4.7923468
2004 Q2,Capital Country,New South Wales,Other,9.7078161
2004 Q3,Capital Country,New South Wales,Other,14.838126
2004 Q4,Capital Country,New South Wales,Other,13.8733088
2005 Q1,Capital Country,New South Wales,Other,3.3136513
2005 Q2,Capital Country,New South Wales,Other,13.6173377
2005 Q3,Capital Country,New South Wales,Other,6.2615526
2005 Q4,Capital Country,New South Wales,Other,4.4491319
2006 Q1,Capital Country,New South Wales,Other,5.112374
2006 Q2,Capital Country,New South Wales,Other,0.534297
2006 Q3,Capital Country,New South Wales,Other,9.403469
2006 Q4,Capital Country,New South Wales,Other,11.609053
2007 Q1,Capital Country,New South Wales,Other,3.7393495
2007 Q2,Capital Country,New South Wales,Other,7.3384362
2007 Q3,Capital Country,New South Wales,Other,8.59296
2007 Q4,Capital Country,New South Wales,Other,0.9571755
2008 Q1,Capital Country,New South Wales,Other,5.149939
2008 Q2,Capital Country,New South Wales,Other,7.2473802
2008 Q3,Capital Country,New South Wales,Other,9.4555011
2008 Q4,Capital Country,New South Wales,Other,5.4918883
2009 Q1,Capital Country,New South Wales,Other,7.6809579
2009 Q2,Capital Country,New South Wales,Other,6.383948
2009 Q3,Capital Country,New South Wales,Other,4.7023175
2009 Q4,Capital Country,New South Wales,Other,12.6428325
2010 Q1,Capital Country,New South Wales,Other,13.1336331
2010 Q2,Capital Country,New South Wales,Other,12.6615913
2010 Q3,Capital Country,New South Wales,Other,15.8149481
2010 Q4,Capital Country,New South Wales,Other,9.5705759
2011 Q1,Capital Country,New South Wales,Other,4.2462723
2011 Q2,Capital Country,New South Wales,Other,9.0847851
2011 Q3,Capital Country,New South Wales,Other,14.0515626
2011 Q4,Capital Country,New South Wales,Other,7.3853546
2012 Q1,Capital Country,New South Wales,Other,3.5316487
2012 Q2,Capital Country,New South Wales,Other,11.9920397
2012 Q3,Capital Country,New South Wales,Other,5.8151582
2012 Q4,Capital Country,New South Wales,Other,12.1285414
2013 Q1,Capital Country,New South Wales,Other,12.5346687
2013 Q2,Capital Country,New South Wales,Other,3.2910642
2013 Q3,Capital Country,New South Wales,Other,9.3263657
2013 Q4,Capital Country,New South Wales,Other,4.5059195
2014 Q1,Capital Country,New South Wales,Other,8.7881608
2014 Q2,Capital Country,New South Wales,Other,21.0900617
2014 Q3,Capital Country,New South Wales,Other,9.159982
2014 Q4,Capital Country,New South Wales,Other,12.4895691
2015 Q1,Capital Country,New South Wales,Other,2.813958
2015 Q2,Capital Country,New South Wales,Other,16.2957179
2015 Q3,Capital Country,New South Wales,Other,8.4545755
2015 Q4,Capital Country,New South Wales,Other,20.3014378
2016 Q1,Capital Country,New South Wales,Other,15.2920037
2016 Q2,Capital Country,New South Wales,Other,18.9356475
2016 Q3,Capital Country,New South Wales,Other,2.9246772
2016 Q4,Capital Country,New South Wales,Other,19.3135009
2017 Q1,Capital Country,New South Wales,Other,23.165471
2017 Q2,Capital Country,New South Wales,Other,20.085986
2017 Q3,Capital Country,New South Wales,Other,16.6899661
2017 Q4,Capital Country,New South Wales,Other,17.9705112
1998 Q1,Capital Country,New South Wales,Visiting,100.0013013
1998 Q2,Capital Country,New South Wales,Visiting,88.4707563
1998 Q3,Capital Country,New South Wales,Visiting,71.5387036
1998 Q4,Capital Country,New South Wales,Visiting,96.6611445
1999 Q1,Capital Country,New South Wales,Visiting,74.4061355
1999 Q2,Capital Country,New South Wales,Visiting,58.7400028
1999 Q3,Capital Country,New South Wales,Visiting,79.6866219
1999 Q4,Capital Country,New South Wales,Visiting,93.6007842
2000 Q1,Capital Country,New South Wales,Visiting,75.2132179
2000 Q2,Capital Country,New South Wales,Visiting,88.3630793
2000 Q3,Capital Country,New South Wales,Visiting,83.796005
2000 Q4,Capital Country,New South Wales,Visiting,94.8563238
2001 Q1,Capital Country,New South Wales,Visiting,64.0569652
2001 Q2,Capital Country,New South Wales,Visiting,88.3903038
2001 Q3,Capital Country,New South Wales,Visiting,79.8524734
2001 Q4,Capital Country,New South Wales,Visiting,114.6344739
2002 Q1,Capital Country,New South Wales,Visiting,49.7892132
2002 Q2,Capital Country,New South Wales,Visiting,85.3282598
2002 Q3,Capital Country,New South Wales,Visiting,101.1473561
2002 Q4,Capital Country,New South Wales,Visiting,112.5032734
2003 Q1,Capital Country,New South Wales,Visiting,74.1614147
2003 Q2,Capital Country,New South Wales,Visiting,85.9848818
2003 Q3,Capital Country,New South Wales,Visiting,89.8083533
2003 Q4,Capital Country,New South Wales,Visiting,94.2248902
2004 Q1,Capital Country,New South Wales,Visiting,68.8783181
2004 Q2,Capital Country,New South Wales,Visiting,103.6004607
2004 Q3,Capital Country,New South Wales,Visiting,103.3902155
2004 Q4,Capital Country,New South Wales,Visiting,138.5402525
2005 Q1,Capital Country,New South Wales,Visiting,97.7933344
2005 Q2,Capital Country,New South Wales,Visiting,95.2770952
2005 Q3,Capital Country,New South Wales,Visiting,71.2317806
2005 Q4,Capital Country,New South Wales,Visiting,77.7857577
2006 Q1,Capital Country,New South Wales,Visiting,86.098601
2006 Q2,Capital Country,New South Wales,Visiting,116.218532
2006 Q3,Capital Country,New South Wales,Visiting,68.076642
2006 Q4,Capital Country,New South Wales,Visiting,97.0613
2007 Q1,Capital Country,New South Wales,Visiting,55.6361429
2007 Q2,Capital Country,New South Wales,Visiting,96.0266971
2007 Q3,Capital Country,New South Wales,Visiting,85.9361547
2007 Q4,Capital Country,New South Wales,Visiting,92.8094559
2008 Q1,Capital Country,New South Wales,Visiting,96.033914
2008 Q2,Capital Country,New South Wales,Visiting,90.1217092
2008 Q3,Capital Country,New South Wales,Visiting,86.1991927
2008 Q4,Capital Country,New South Wales,Visiting,103.1885422
2009 Q1,Capital Country,New South Wales,Visiting,79.692865
2009 Q2,Capital Country,New South Wales,Visiting,62.1036218
2009 Q3,Capital Country,New South Wales,Visiting,63.7889358
2009 Q4,Capital Country,New South Wales,Visiting,127.6477972
2010 Q1,Capital Country,New South Wales,Visiting,95.2420682
2010 Q2,Capital Country,New South Wales,Visiting,89.2382806
2010 Q3,Capital Country,New South Wales,Visiting,67.8943908
2010 Q4,Capital Country,New South Wales,Visiting,92.7131403
2011 Q1,Capital Country,New South Wales,Visiting,75.8878655
2011 Q2,Capital Country,New South Wales,Visiting,133.0164781
2011 Q3,Capital Country,New South Wales,Visiting,66.8192794
2011 Q4,Capital Country,New South Wales,Visiting,124.6573291
2012 Q1,Capital Country,New South Wales,Visiting,84.8882283
2012 Q2,Capital Country,New South Wales,Visiting,136.1557942
2012 Q3,Capital Country,New South Wales,Visiting,74.0986636
2012 Q4,Capital Country,New South Wales,Visiting,111.4561656
2013 Q1,Capital Country,New South Wales,Visiting,128.8169321
2013 Q2,Capital Country,New South Wales,Visiting,103.9959167
2013 Q3,Capital Country,New South Wales,Visiting,100.5579545
2013 Q4,Capital Country,New South Wales,Visiting,130.7699997
2014 Q1,Capital Country,New South Wales,Visiting,123.6069947
2014 Q2,Capital Country,New South Wales,Visiting,83.1186326
2014 Q3,Capital Country,New South Wales,Visiting,113.2801916
2014 Q4,Capital Country,New South Wales,Visiting,89.25594
2015 Q1,Capital Country,New South Wales,Visiting,109.3809639
2015 Q2,Capital Country,New South Wales,Visiting,78.8333995
2015 Q3,Capital Country,New South Wales,Visiting,138.545099
2015 Q4,Capital Country,New South Wales,Visiting,144.4881509
2016 Q1,Capital Country,New South Wales,Visiting,135.1980587
2016 Q2,Capital Country,New South Wales,Visiting,122.0251819
2016 Q3,Capital Country,New South Wales,Visiting,116.851045
2016 Q4,Capital Country,New South Wales,Visiting,113.1478861
2017 Q1,Capital Country,New South Wales,Visiting,123.6312175
2017 Q2,Capital Country,New South Wales,Visiting,155.9933013
2017 Q3,Capital Country,New South Wales,Visiting,126.3230867
2017 Q4,Capital Country,New South Wales,Visiting,153.6528823
1998 Q1,Central Coast,New South Wales,Business,24.2022147
1998 Q2,Central Coast,New South Wales,Business,14.041508
1998 Q3,Central Coast,New South Wales,Business,49.2162983
1998 Q4,Central Coast,New South Wales,Business,31.5444344
1999 Q1,Central Coast,New South Wales,Business,27.729696
1999 Q2,Central Coast,New South Wales,Business,23.0765676
1999 Q3,Central Coast,New South Wales,Business,26.5512013
1999 Q4,Central Coast,New South Wales,Business,10.3144951
2000 Q1,Central Coast,New South Wales,Business,8.0309548
2000 Q2,Central Coast,New South Wales,Business,11.8704851
2000 Q3,Central Coast,New South Wales,Business,11.8842885
2000 Q4,Central Coast,New South Wales,Business,22.1332929
2001 Q1,Central Coast,New South Wales,Business,35.9231336
2001 Q2,Central Coast,New South Wales,Business,24.2715557
2001 Q3,Central Coast,New South Wales,Business,11.9203588
2001 Q4,Central Coast,New South Wales,Business,23.2847299
2002 Q1,Central Coast,New South Wales,Business,28.4465544
2002 Q2,Central Coast,New South Wales,Business,36.0462956
2002 Q3,Central Coast,New South Wales,Business,40.6553084
2002 Q4,Central Coast,New South Wales,Business,8.214641
2003 Q1,Central Coast,New South Wales,Business,8.3007306
2003 Q2,Central Coast,New South Wales,Business,29.5522113
2003 Q3,Central Coast,New South Wales,Business,43.1659516
2003 Q4,Central Coast,New South Wales,Business,15.3848055
2004 Q1,Central Coast,New South Wales,Business,36.0209029
2004 Q2,Central Coast,New South Wales,Business,34.3629427
2004 Q3,Central Coast,New South Wales,Business,34.7355714
2004 Q4,Central Coast,New South Wales,Business,28.1234956
2005 Q1,Central Coast,New South Wales,Business,27.5257779
2005 Q2,Central Coast,New South Wales,Business,26.2149657
2005 Q3,Central Coast,New South Wales,Business,13.1848302
2005 Q4,Central Coast,New South Wales,Business,12.3228841
2006 Q1,Central Coast,New South Wales,Business,27.83963
2006 Q2,Central Coast,New South Wales,Business,27.142624
2006 Q3,Central Coast,New South Wales,Business,20.309979
2006 Q4,Central Coast,New South Wales,Business,27.61173
2007 Q1,Central Coast,New South Wales,Business,21.0033524
2007 Q2,Central Coast,New South Wales,Business,38.6788393
2007 Q3,Central Coast,New South Wales,Business,17.3612713
2007 Q4,Central Coast,New South Wales,Business,24.9802373
2008 Q1,Central Coast,New South Wales,Business,18.488945
2008 Q2,Central Coast,New South Wales,Business,10.358566100000001
2008 Q3,Central Coast,New South Wales,Business,22.2120559
2008 Q4,Central Coast,New South Wales,Business,5.3813695
2009 Q1,Central Coast,New South Wales,Business,38.1341956
2009 Q2,Central Coast,New South Wales,Business,10.4997494
2009 Q3,Central Coast,New South Wales,Business,9.6239004
2009 Q4,Central Coast,New South Wales,Business,12.2228999
2010 Q1,Central Coast,New South Wales,Business,25.8523709
2010 Q2,Central Coast,New South Wales,Business,11.3280392
2010 Q3,Central Coast,New South Wales,Business,0
2010 Q4,Central Coast,New South Wales,Business,16.4128379
2011 Q1,Central Coast,New South Wales,Business,6.846153
2011 Q2,Central Coast,New South Wales,Business,18.4465942
2011 Q3,Central Coast,New South Wales,Business,28.195671
2011 Q4,Central Coast,New South Wales,Business,7.913085
2012 Q1,Central Coast,New South Wales,Business,4.3563202
2012 Q2,Central Coast,New South Wales,Business,29.1342923
2012 Q3,Central Coast,New South Wales,Business,43.0287792
2012 Q4,Central Coast,New South Wales,Business,3.5723595
2013 Q1,Central Coast,New South Wales,Business,23.8642974
2013 Q2,Central Coast,New South Wales,Business,18.521523
2013 Q3,Central Coast,New South Wales,Business,3.0826633
2013 Q4,Central Coast,New South Wales,Business,14.5005348
2014 Q1,Central Coast,New South Wales,Business,18.2663266
2014 Q2,Central Coast,New South Wales,Business,22.4574913
2014 Q3,Central Coast,New South Wales,Business,13.5889576
2014 Q4,Central Coast,New South Wales,Business,12.5447362
2015 Q1,Central Coast,New South Wales,Business,13.1754509
2015 Q2,Central Coast,New South Wales,Business,22.5744443
2015 Q3,Central Coast,New South Wales,Business,19.0439899
2015 Q4,Central Coast,New South Wales,Business,20.8517937
2016 Q1,Central Coast,New South Wales,Business,14.9589019
2016 Q2,Central Coast,New South Wales,Business,19.2389881
2016 Q3,Central Coast,New South Wales,Business,15.0180833
2016 Q4,Central Coast,New South Wales,Business,24.1805152
2017 Q1,Central Coast,New South Wales,Business,43.1279573
2017 Q2,Central Coast,New South Wales,Business,30.9116231
2017 Q3,Central Coast,New South Wales,Business,28.27234
2017 Q4,Central Coast,New South Wales,Business,42.4454375
1998 Q1,Central Coast,New South Wales,Holiday,279.4885929
1998 Q2,Central Coast,New South Wales,Holiday,140.4221808
1998 Q3,Central Coast,New South Wales,Holiday,104.7387161
1998 Q4,Central Coast,New South Wales,Holiday,158.9074539
1999 Q1,Central Coast,New South Wales,Holiday,211.1166595
1999 Q2,Central Coast,New South Wales,Holiday,148.2628236
1999 Q3,Central Coast,New South Wales,Holiday,109.8945399
1999 Q4,Central Coast,New South Wales,Holiday,163.7153836
2000 Q1,Central Coast,New South Wales,Holiday,209.5807429
2000 Q2,Central Coast,New South Wales,Holiday,191.4782429
2000 Q3,Central Coast,New South Wales,Holiday,145.8214006
2000 Q4,Central Coast,New South Wales,Holiday,173.742998
2001 Q1,Central Coast,New South Wales,Holiday,220.1311259
2001 Q2,Central Coast,New South Wales,Holiday,162.8483598
2001 Q3,Central Coast,New South Wales,Holiday,127.9294298
2001 Q4,Central Coast,New South Wales,Holiday,229.1510871
2002 Q1,Central Coast,New South Wales,Holiday,196.277932
2002 Q2,Central Coast,New South Wales,Holiday,143.8323294
2002 Q3,Central Coast,New South Wales,Holiday,77.4109725
2002 Q4,Central Coast,New South Wales,Holiday,198.6034493
2003 Q1,Central Coast,New South Wales,Holiday,279.7284379
2003 Q2,Central Coast,New South Wales,Holiday,129.6913973
2003 Q3,Central Coast,New South Wales,Holiday,97.3987607
2003 Q4,Central Coast,New South Wales,Holiday,158.3438571
2004 Q1,Central Coast,New South Wales,Holiday,280.6193767
2004 Q2,Central Coast,New South Wales,Holiday,189.6682146
2004 Q3,Central Coast,New South Wales,Holiday,98.6570638
2004 Q4,Central Coast,New South Wales,Holiday,126.7518165
2005 Q1,Central Coast,New South Wales,Holiday,222.1877907
2005 Q2,Central Coast,New South Wales,Holiday,122.836855
2005 Q3,Central Coast,New South Wales,Holiday,92.0409163
2005 Q4,Central Coast,New South Wales,Holiday,153.0207244
2006 Q1,Central Coast,New South Wales,Holiday,273.550217
2006 Q2,Central Coast,New South Wales,Holiday,137.777031
2006 Q3,Central Coast,New South Wales,Holiday,104.592262
2006 Q4,Central Coast,New South Wales,Holiday,157.548486
2007 Q1,Central Coast,New South Wales,Holiday,262.559709
2007 Q2,Central Coast,New South Wales,Holiday,109.1228223
2007 Q3,Central Coast,New South Wales,Holiday,115.2745078
2007 Q4,Central Coast,New South Wales,Holiday,151.8191788
2008 Q1,Central Coast,New South Wales,Holiday,262.2972608
2008 Q2,Central Coast,New South Wales,Holiday,106.3138021
2008 Q3,Central Coast,New South Wales,Holiday,108.309547
2008 Q4,Central Coast,New South Wales,Holiday,159.3196585
2009 Q1,Central Coast,New South Wales,Holiday,215.7282887
2009 Q2,Central Coast,New South Wales,Holiday,116.319406
2009 Q3,Central Coast,New South Wales,Holiday,121.4525163
2009 Q4,Central Coast,New South Wales,Holiday,139.5968216
2010 Q1,Central Coast,New South Wales,Holiday,202.4154695
2010 Q2,Central Coast,New South Wales,Holiday,126.5812608
2010 Q3,Central Coast,New South Wales,Holiday,111.8822344
2010 Q4,Central Coast,New South Wales,Holiday,127.0427835
2011 Q1,Central Coast,New South Wales,Holiday,209.4684823
2011 Q2,Central Coast,New South Wales,Holiday,133.7874222
2011 Q3,Central Coast,New South Wales,Holiday,107.2383582
2011 Q4,Central Coast,New South Wales,Holiday,124.6642466
2012 Q1,Central Coast,New South Wales,Holiday,219.9976032
2012 Q2,Central Coast,New South Wales,Holiday,101.6258271
2012 Q3,Central Coast,New South Wales,Holiday,120.6825073
2012 Q4,Central Coast,New South Wales,Holiday,160.5506145
2013 Q1,Central Coast,New South Wales,Holiday,238.6701625
2013 Q2,Central Coast,New South Wales,Holiday,176.9793294
2013 Q3,Central Coast,New South Wales,Holiday,118.2357708
2013 Q4,Central Coast,New South Wales,Holiday,124.4988675
2014 Q1,Central Coast,New South Wales,Holiday,213.0202433
2014 Q2,Central Coast,New South Wales,Holiday,119.1880614
2014 Q3,Central Coast,New South Wales,Holiday,83.678978
2014 Q4,Central Coast,New South Wales,Holiday,164.5625555
2015 Q1,Central Coast,New South Wales,Holiday,226.3676852
2015 Q2,Central Coast,New South Wales,Holiday,97.3052749
2015 Q3,Central Coast,New South Wales,Holiday,105.5704687
2015 Q4,Central Coast,New South Wales,Holiday,150.3733023
2016 Q1,Central Coast,New South Wales,Holiday,201.0698407
2016 Q2,Central Coast,New South Wales,Holiday,101.6029973
2016 Q3,Central Coast,New South Wales,Holiday,120.5149323
2016 Q4,Central Coast,New South Wales,Holiday,161.1476237
2017 Q1,Central Coast,New South Wales,Holiday,214.2383783
2017 Q2,Central Coast,New South Wales,Holiday,119.5719747
2017 Q3,Central Coast,New South Wales,Holiday,124.8570952
2017 Q4,Central Coast,New South Wales,Holiday,154.4061531
1998 Q1,Central Coast,New South Wales,Other,2.9312689
1998 Q2,Central Coast,New South Wales,Other,6.2768454
1998 Q3,Central Coast,New South Wales,Other,6.0979411
1998 Q4,Central Coast,New South Wales,Other,0
1999 Q1,Central Coast,New South Wales,Other,7.5592672
1999 Q2,Central Coast,New South Wales,Other,3.4308529
1999 Q3,Central Coast,New South Wales,Other,1.184792
1999 Q4,Central Coast,New South Wales,Other,10.2217495
2000 Q1,Central Coast,New South Wales,Other,3.4446559
2000 Q2,Central Coast,New South Wales,Other,18.7252798
2000 Q3,Central Coast,New South Wales,Other,5.8506696
2000 Q4,Central Coast,New South Wales,Other,4.4849491
2001 Q1,Central Coast,New South Wales,Other,5.6348943
2001 Q2,Central Coast,New South Wales,Other,0
2001 Q3,Central Coast,New South Wales,Other,0
2001 Q4,Central Coast,New South Wales,Other,16.8753636
2002 Q1,Central Coast,New South Wales,Other,28.6588749
2002 Q2,Central Coast,New South Wales,Other,8.0006805
2002 Q3,Central Coast,New South Wales,Other,7.3666685
2002 Q4,Central Coast,New South Wales,Other,7.262405
2003 Q1,Central Coast,New South Wales,Other,0
2003 Q2,Central Coast,New South Wales,Other,14.2808268
2003 Q3,Central Coast,New South Wales,Other,5.6350158
2003 Q4,Central Coast,New South Wales,Other,0
2004 Q1,Central Coast,New South Wales,Other,6.9851176
2004 Q2,Central Coast,New South Wales,Other,0
2004 Q3,Central Coast,New South Wales,Other,0
2004 Q4,Central Coast,New South Wales,Other,4.9085008
2005 Q1,Central Coast,New South Wales,Other,18.4774334
2005 Q2,Central Coast,New South Wales,Other,5.3609041
2005 Q3,Central Coast,New South Wales,Other,5.6360013
2005 Q4,Central Coast,New South Wales,Other,5.7808281
2006 Q1,Central Coast,New South Wales,Other,5.818447
2006 Q2,Central Coast,New South Wales,Other,3.144877
2006 Q3,Central Coast,New South Wales,Other,0.351295
2006 Q4,Central Coast,New South Wales,Other,9.857578
2007 Q1,Central Coast,New South Wales,Other,12.0806999
2007 Q2,Central Coast,New South Wales,Other,16.5702729
2007 Q3,Central Coast,New South Wales,Other,12.0336045
2007 Q4,Central Coast,New South Wales,Other,8.3166651
2008 Q1,Central Coast,New South Wales,Other,6.8421197
2008 Q2,Central Coast,New South Wales,Other,0
2008 Q3,Central Coast,New South Wales,Other,2.6899608
2008 Q4,Central Coast,New South Wales,Other,2.5192505
2009 Q1,Central Coast,New South Wales,Other,2.7780545
2009 Q2,Central Coast,New South Wales,Other,1.6016013
2009 Q3,Central Coast,New South Wales,Other,10.2733811
2009 Q4,Central Coast,New South Wales,Other,4.3072949
2010 Q1,Central Coast,New South Wales,Other,7.2223962
2010 Q2,Central Coast,New South Wales,Other,3.3794372
2010 Q3,Central Coast,New South Wales,Other,6.810427
2010 Q4,Central Coast,New South Wales,Other,2.884799
2011 Q1,Central Coast,New South Wales,Other,15.9907067
2011 Q2,Central Coast,New South Wales,Other,6.9926675
2011 Q3,Central Coast,New South Wales,Other,7.5521928
2011 Q4,Central Coast,New South Wales,Other,13.1249099
2012 Q1,Central Coast,New South Wales,Other,4.7064876
2012 Q2,Central Coast,New South Wales,Other,1.6267801
2012 Q3,Central Coast,New South Wales,Other,0
2012 Q4,Central Coast,New South Wales,Other,8.7198473
2013 Q1,Central Coast,New South Wales,Other,1.9974966
2013 Q2,Central Coast,New South Wales,Other,13.9841809
2013 Q3,Central Coast,New South Wales,Other,13.6337863
2013 Q4,Central Coast,New South Wales,Other,1.3064396
2014 Q1,Central Coast,New South Wales,Other,9.7967137
2014 Q2,Central Coast,New South Wales,Other,9.0310298
2014 Q3,Central Coast,New South Wales,Other,7.6362804
2014 Q4,Central Coast,New South Wales,Other,6.9382486
2015 Q1,Central Coast,New South Wales,Other,6.0449598
2015 Q2,Central Coast,New South Wales,Other,14.3054906
2015 Q3,Central Coast,New South Wales,Other,3.3587672
2015 Q4,Central Coast,New South Wales,Other,5.5936069
2016 Q1,Central Coast,New South Wales,Other,8.1541064
2016 Q2,Central Coast,New South Wales,Other,7.4093929
2016 Q3,Central Coast,New South Wales,Other,0.6199589
2016 Q4,Central Coast,New South Wales,Other,6.6881911
2017 Q1,Central Coast,New South Wales,Other,16.5433317
2017 Q2,Central Coast,New South Wales,Other,13.2829348
2017 Q3,Central Coast,New South Wales,Other,14.718911
2017 Q4,Central Coast,New South Wales,Other,13.4761783
1998 Q1,Central Coast,New South Wales,Visiting,148.5447722
1998 Q2,Central Coast,New South Wales,Visiting,182.7362242
1998 Q3,Central Coast,New South Wales,Visiting,143.6179192
1998 Q4,Central Coast,New South Wales,Visiting,141.3651719
1999 Q1,Central Coast,New South Wales,Visiting,220.4099487
1999 Q2,Central Coast,New South Wales,Visiting,138.0651125
1999 Q3,Central Coast,New South Wales,Visiting,141.8174603
1999 Q4,Central Coast,New South Wales,Visiting,178.850132
2000 Q1,Central Coast,New South Wales,Visiting,150.4012656
2000 Q2,Central Coast,New South Wales,Visiting,113.3681398
2000 Q3,Central Coast,New South Wales,Visiting,119.8477846
2000 Q4,Central Coast,New South Wales,Visiting,172.5748937
2001 Q1,Central Coast,New South Wales,Visiting,132.5234608
2001 Q2,Central Coast,New South Wales,Visiting,141.3051154
2001 Q3,Central Coast,New South Wales,Visiting,133.9025318
2001 Q4,Central Coast,New South Wales,Visiting,137.0895696
2002 Q1,Central Coast,New South Wales,Visiting,188.0388789
2002 Q2,Central Coast,New South Wales,Visiting,124.0776748
2002 Q3,Central Coast,New South Wales,Visiting,181.970304
2002 Q4,Central Coast,New South Wales,Visiting,210.9958328
2003 Q1,Central Coast,New South Wales,Visiting,123.8967516
2003 Q2,Central Coast,New South Wales,Visiting,174.1523239
2003 Q3,Central Coast,New South Wales,Visiting,244.1916124
2003 Q4,Central Coast,New South Wales,Visiting,158.9582236
2004 Q1,Central Coast,New South Wales,Visiting,184.7891399
2004 Q2,Central Coast,New South Wales,Visiting,160.2722565
2004 Q3,Central Coast,New South Wales,Visiting,146.2538374
2004 Q4,Central Coast,New South Wales,Visiting,180.4036035
2005 Q1,Central Coast,New South Wales,Visiting,149.4998477
2005 Q2,Central Coast,New South Wales,Visiting,119.6952958
2005 Q3,Central Coast,New South Wales,Visiting,93.5157919
2005 Q4,Central Coast,New South Wales,Visiting,137.3701018
2006 Q1,Central Coast,New South Wales,Visiting,182.473249
2006 Q2,Central Coast,New South Wales,Visiting,152.363491
2006 Q3,Central Coast,New South Wales,Visiting,147.103246
2006 Q4,Central Coast,New South Wales,Visiting,147.686368
2007 Q1,Central Coast,New South Wales,Visiting,122.3514744
2007 Q2,Central Coast,New South Wales,Visiting,153.6255426
2007 Q3,Central Coast,New South Wales,Visiting,104.0582213
2007 Q4,Central Coast,New South Wales,Visiting,145.8892048
2008 Q1,Central Coast,New South Wales,Visiting,165.3144688
2008 Q2,Central Coast,New South Wales,Visiting,98.9447483
2008 Q3,Central Coast,New South Wales,Visiting,108.1989396
2008 Q4,Central Coast,New South Wales,Visiting,131.9255263
2009 Q1,Central Coast,New South Wales,Visiting,125.1962641
2009 Q2,Central Coast,New South Wales,Visiting,118.3926546
2009 Q3,Central Coast,New South Wales,Visiting,106.8481166
2009 Q4,Central Coast,New South Wales,Visiting,137.6816703
2010 Q1,Central Coast,New South Wales,Visiting,135.2419764
2010 Q2,Central Coast,New South Wales,Visiting,75.5489303
2010 Q3,Central Coast,New South Wales,Visiting,143.137492
2010 Q4,Central Coast,New South Wales,Visiting,141.0930971
2011 Q1,Central Coast,New South Wales,Visiting,170.41167
2011 Q2,Central Coast,New South Wales,Visiting,119.3332543
2011 Q3,Central Coast,New South Wales,Visiting,107.351853
2011 Q4,Central Coast,New South Wales,Visiting,126.3644431
