Week,Airports,Class,Passengers
1991 W10,MEL-BNE,Business,401
1991 W11,MEL-BNE,Business,443
1991 W12,MEL-BNE,Business,249
1991 W13,MEL-BNE,Business,206
1991 W14,MEL-BNE,Business,373
1991 W15,MEL-BNE,Business,399
1991 W16,MEL-BNE,Business,366
1991 W17,MEL-BNE,Business,361
1991 W18,MEL-BNE,Business,302
1991 W19,MEL-BNE,Business,388
1991 W20,MEL-BNE,Business,323
1991 W21,MEL-BNE,Business,310
1991 W22,MEL-BNE,Business,331
1991 W23,MEL-BNE,Business,342
1991 W24,MEL-BNE,Business,273
1991 W25,MEL-BNE,Business,295
1991 W26,MEL-BNE,Business,300
1991 W27,MEL-BNE,Business,267
1991 W28,MEL-BNE,Business,305
1991 W29,MEL-BNE,Business,394
1991 W30,MEL-BNE,Business,278
1991 W31,MEL-BNE,Business,306
1991 W32,MEL-BNE,Business,275
1991 W33,MEL-BNE,Business,338
1991 W34,MEL-BNE,Business,287
1991 W35,MEL-BNE,Business,276
1991 W36,MEL-BNE,Business,348
1991 W37,MEL-BNE,Business,322
1991 W38,MEL-BNE,Business,303
1991 W39,MEL-BNE,Business,286
1991 W40,MEL-BNE,Business,289
1991 W41,MEL-BNE,Business,286
1991 W42,MEL-BNE,Business,388
1991 W43,MEL-BNE,Business,349
1991 W44,MEL-BNE,Business,269
1991 W45,MEL-BNE,Business,348
1991 W46,MEL-BNE,Business,330
1991 W47,MEL-BNE,Business,319
1991 W48,MEL-BNE,Business,331
1991 W49,MEL-BNE,Business,288
1991 W50,MEL-BNE,Business,252
1991 W51,MEL-BNE,Business,118
1991 W52,MEL-BNE,Business,108
1992 W01,MEL-BNE,Business,164
1992 W02,MEL-BNE,Business,207
1992 W03,MEL-BNE,Business,213
1992 W04,MEL-BNE,Business,238
1992 W05,MEL-BNE,Business,280
1992 W06,MEL-BNE,Business,298
1992 W07,MEL-BNE,Business,320
1992 W08,MEL-BNE,Business,380
1992 W09,MEL-BNE,Business,398
1992 W10,MEL-BNE,Business,368
1992 W11,MEL-BNE,Business,355
1992 W12,MEL-BNE,Business,1421
1992 W13,MEL-BNE,Business,1520
1992 W14,MEL-BNE,Business,1688
1992 W15,MEL-BNE,Business,1532
1992 W16,MEL-BNE,Business,1278
1992 W17,MEL-BNE,Business,1719
1992 W18,MEL-BNE,Business,1210
1992 W19,MEL-BNE,Business,1437
1992 W20,MEL-BNE,Business,1384
1992 W21,MEL-BNE,Business,1253
1992 W22,MEL-BNE,Business,1047
1992 W23,MEL-BNE,Business,1065
1992 W24,MEL-BNE,Business,1193
1992 W25,MEL-BNE,Business,790
1992 W26,MEL-BNE,Business,714
1992 W27,MEL-BNE,Business,765
1992 W28,MEL-BNE,Business,710
1992 W29,MEL-BNE,Business,716
1992 W30,MEL-BNE,Business,550
1992 W31,MEL-BNE,Business,600
1992 W32,MEL-BNE,Business,607
1992 W33,MEL-BNE,Business,553
1992 W34,MEL-BNE,Business,579
1992 W35,MEL-BNE,Business,547
1992 W36,MEL-BNE,Business,558
1992 W37,MEL-BNE,Business,578
1992 W38,MEL-BNE,Business,515
1992 W39,MEL-BNE,Business,641
1992 W40,MEL-BNE,Business,518
1992 W41,MEL-BNE,Business,564
1992 W42,MEL-BNE,Business,643
1992 W43,MEL-BNE,Business,565
1992 W44,MEL-BNE,Business,510
1992 W45,MEL-BNE,Business,531
1992 W46,MEL-BNE,Business,585
1992 W47,MEL-BNE,Business,609
1987 W26,MEL-BNE,Economy,4545
1987 W27,MEL-BNE,Economy,4809
1987 W28,MEL-BNE,Economy,4660
1987 W29,MEL-BNE,Economy,4023
1987 W30,MEL-BNE,Economy,4075
1987 W31,MEL-BNE,Economy,4020
1987 W32,MEL-BNE,Economy,4041
1987 W33,MEL-BNE,Economy,4015
1987 W34,MEL-BNE,Economy,4293
1987 W35,MEL-BNE,Economy,4536
1987 W36,MEL-BNE,Economy,4781
1987 W37,MEL-BNE,Economy,5328
1987 W39,MEL-BNE,Economy,5797
1987 W40,MEL-BNE,Economy,4757
1987 W41,MEL-BNE,Economy,4180
1987 W42,MEL-BNE,Economy,4155
1987 W43,MEL-BNE,Economy,4219
1987 W44,MEL-BNE,Economy,3621
1987 W45,MEL-BNE,Economy,3683
1987 W46,MEL-BNE,Economy,3704
1987 W47,MEL-BNE,Economy,3775
1987 W48,MEL-BNE,Economy,3648
1987 W49,MEL-BNE,Economy,3633
1987 W50,MEL-BNE,Economy,3934
1987 W51,MEL-BNE,Economy,4741
1987 W52,MEL-BNE,Economy,4661
1987 W53,MEL-BNE,Economy,4906
1988 W01,MEL-BNE,Economy,5327
1988 W02,MEL-BNE,Economy,5158
1988 W03,MEL-BNE,Economy,3724
1988 W04,MEL-BNE,Economy,3838
1988 W05,MEL-BNE,Economy,3308
1988 W06,MEL-BNE,Economy,3526
1988 W07,MEL-BNE,Economy,2908
1988 W08,MEL-BNE,Economy,3582
1988 W09,MEL-BNE,Economy,3457
1988 W10,MEL-BNE,Economy,3437
1988 W11,MEL-BNE,Economy,4419
1988 W12,MEL-BNE,Economy,4601
1988 W13,MEL-BNE,Economy,3762
1988 W14,MEL-BNE,Economy,3844
1988 W15,MEL-BNE,Economy,3437
1988 W16,MEL-BNE,Economy,3397
1988 W17,MEL-BNE,Economy,4244
1988 W18,MEL-BNE,Economy,4060
1988 W19,MEL-BNE,Economy,4434
1988 W20,MEL-BNE,Economy,4558
1988 W21,MEL-BNE,Economy,4068
1988 W22,MEL-BNE,Economy,4000
1988 W23,MEL-BNE,Economy,4245
1988 W24,MEL-BNE,Economy,5297
1988 W25,MEL-BNE,Economy,6278
1988 W26,MEL-BNE,Economy,6108
1988 W27,MEL-BNE,Economy,5574
1988 W28,MEL-BNE,Economy,5154
1988 W29,MEL-BNE,Economy,4938
1988 W30,MEL-BNE,Economy,5541
1988 W31,MEL-BNE,Economy,5458
1988 W32,MEL-BNE,Economy,5300
1988 W33,MEL-BNE,Economy,5865
1988 W34,MEL-BNE,Economy,6064
1988 W35,MEL-BNE,Economy,6776
1988 W36,MEL-BNE,Economy,7145
1988 W37,MEL-BNE,Economy,6262
1988 W38,MEL-BNE,Economy,7165
1988 W39,MEL-BNE,Economy,4576
1988 W40,MEL-BNE,Economy,5601
1988 W41,MEL-BNE,Economy,5148
1988 W42,MEL-BNE,Economy,5131
1988 W43,MEL-BNE,Economy,4348
1988 W44,MEL-BNE,Economy,4133
1988 W45,MEL-BNE,Economy,4321
1988 W46,MEL-BNE,Economy,4048
1988 W47,MEL-BNE,Economy,3616
1988 W48,MEL-BNE,Economy,4006
1988 W49,MEL-BNE,Economy,4554
1988 W50,MEL-BNE,Economy,4770
1988 W51,MEL-BNE,Economy,3269
1988 W52,MEL-BNE,Economy,4869
1989 W01,MEL-BNE,Economy,4057
1989 W02,MEL-BNE,Economy,4609
1989 W03,MEL-BNE,Economy,4322
1989 W04,MEL-BNE,Economy,3752
1989 W05,MEL-BNE,Economy,3597
1989 W06,MEL-BNE,Economy,3922
1989 W07,MEL-BNE,Economy,3653
1989 W08,MEL-BNE,Economy,4343
1989 W09,MEL-BNE,Economy,4203
1989 W10,MEL-BNE,Economy,4910
1989 W11,MEL-BNE,Economy,4898
1989 W12,MEL-BNE,Economy,4445
1989 W13,MEL-BNE,Economy,4908
1989 W14,MEL-BNE,Economy,4685
1989 W15,MEL-BNE,Economy,4551
1989 W16,MEL-BNE,Economy,3938
1989 W17,MEL-BNE,Economy,3974
1989 W18,MEL-BNE,Economy,3668
1989 W19,MEL-BNE,Economy,3943
1989 W20,MEL-BNE,Economy,4266
1989 W21,MEL-BNE,Economy,3715
1989 W22,MEL-BNE,Economy,4075
1989 W23,MEL-BNE,Economy,4298
1989 W24,MEL-BNE,Economy,4785
1989 W25,MEL-BNE,Economy,5430
1989 W26,MEL-BNE,Economy,5880
1989 W27,MEL-BNE,Economy,5379
1989 W28,MEL-BNE,Economy,3966
1989 W29,MEL-BNE,Economy,4321
1989 W30,MEL-BNE,Economy,4111
1989 W31,MEL-BNE,Economy,3878
1989 W32,MEL-BNE,Economy,3778
1989 W33,MEL-BNE,Economy,1895
1989 W34,MEL-BNE,Economy,0
1989 W35,MEL-BNE,Economy,0
1989 W36,MEL-BNE,Economy,0
1989 W37,MEL-BNE,Economy,0
1989 W38,MEL-BNE,Economy,0
1989 W39,MEL-BNE,Economy,0
1989 W40,MEL-BNE,Economy,0
1989 W41,MEL-BNE,Economy,1183
1989 W42,MEL-BNE,Economy,1496
1989 W43,MEL-BNE,Economy,1507
1989 W44,MEL-BNE,Economy,1216
1989 W45,MEL-BNE,Economy,3109
1989 W46,MEL-BNE,Economy,3389
1989 W47,MEL-BNE,Economy,3391
1989 W48,MEL-BNE,Economy,3411
1989 W49,MEL-BNE,Economy,3104
1989 W50,MEL-BNE,Economy,4765
1989 W51,MEL-BNE,Economy,3406
1989 W52,MEL-BNE,Economy,4670
1990 W01,MEL-BNE,Economy,5173
1990 W02,MEL-BNE,Economy,5714
1990 W03,MEL-BNE,Economy,4595
1990 W04,MEL-BNE,Economy,5361
1990 W05,MEL-BNE,Economy,4441
1990 W06,MEL-BNE,Economy,4939
1990 W07,MEL-BNE,Economy,4836
1990 W08,MEL-BNE,Economy,4830
1990 W09,MEL-BNE,Economy,4403
1990 W10,MEL-BNE,Economy,4599
1990 W11,MEL-BNE,Economy,4474
1990 W12,MEL-BNE,Economy,4549
1990 W13,MEL-BNE,Economy,4619
1990 W14,MEL-BNE,Economy,5961
1990 W15,MEL-BNE,Economy,4996
1990 W16,MEL-BNE,Economy,5301
1990 W17,MEL-BNE,Economy,5190
1990 W18,MEL-BNE,Economy,4166
1990 W19,MEL-BNE,Economy,3813
1990 W20,MEL-BNE,Economy,3882
1990 W21,MEL-BNE,Economy,4206
1990 W22,MEL-BNE,Economy,3815
1990 W23,MEL-BNE,Economy,4332
1990 W24,MEL-BNE,Economy,4411
1990 W25,MEL-BNE,Economy,4687
1990 W26,MEL-BNE,Economy,5495
1990 W27,MEL-BNE,Economy,5718
1990 W28,MEL-BNE,Economy,5836
1990 W29,MEL-BNE,Economy,4772
1990 W30,MEL-BNE,Economy,4663
1990 W31,MEL-BNE,Economy,5001
1990 W32,MEL-BNE,Economy,4866
1990 W33,MEL-BNE,Economy,4740
1990 W34,MEL-BNE,Economy,4612
1990 W35,MEL-BNE,Economy,5047
1990 W36,MEL-BNE,Economy,5463
1990 W37,MEL-BNE,Economy,5987
1990 W38,MEL-BNE,Economy,4854
1990 W39,MEL-BNE,Economy,6073
1990 W40,MEL-BNE,Economy,5950
1990 W41,MEL-BNE,Economy,5354
1990 W42,MEL-BNE,Economy,5167
1990 W43,MEL-BNE,Economy,4959
1990 W44,MEL-BNE,Economy,4900
1990 W45,MEL-BNE,Economy,4573
1990 W46,MEL-BNE,Economy,4669
1990 W47,MEL-BNE,Economy,4480
1990 W48,MEL-BNE,Economy,4907
1990 W49,MEL-BNE,Economy,4468
1990 W50,MEL-BNE,Economy,5812
1990 W51,MEL-BNE,Economy,4937
1990 W52,MEL-BNE,Economy,5569
1991 W01,MEL-BNE,Economy,5830
1991 W02,MEL-BNE,Economy,5767
1991 W03,MEL-BNE,Economy,5531
1991 W04,MEL-BNE,Economy,4589
1991 W05,MEL-BNE,Economy,4728
1991 W06,MEL-BNE,Economy,4488
1991 W07,MEL-BNE,Economy,4198
1991 W08,MEL-BNE,Economy,4729
1991 W09,MEL-BNE,Economy,4375
1991 W10,MEL-BNE,Economy,4349
1991 W11,MEL-BNE,Economy,5006
1991 W12,MEL-BNE,Economy,4571
1991 W13,MEL-BNE,Economy,4585
1991 W14,MEL-BNE,Economy,4989
1991 W15,MEL-BNE,Economy,5371
1991 W16,MEL-BNE,Economy,5329
1991 W17,MEL-BNE,Economy,5349
1991 W18,MEL-BNE,Economy,4427
1991 W19,MEL-BNE,Economy,4840
1991 W20,MEL-BNE,Economy,4545
1991 W21,MEL-BNE,Economy,4261
1991 W22,MEL-BNE,Economy,4860
1991 W23,MEL-BNE,Economy,5379
1991 W24,MEL-BNE,Economy,4852
1991 W25,MEL-BNE,Economy,5415
1991 W26,MEL-BNE,Economy,6099
1991 W27,MEL-BNE,Economy,6954
1991 W28,MEL-BNE,Economy,6812
1991 W29,MEL-BNE,Economy,6075
1991 W30,MEL-BNE,Economy,5107
1991 W31,MEL-BNE,Economy,5609
1991 W32,MEL-BNE,Economy,6115
1991 W33,MEL-BNE,Economy,5985
1991 W34,MEL-BNE,Economy,6318
1991 W35,MEL-BNE,Economy,6483
1991 W36,MEL-BNE,Economy,6918
1991 W37,MEL-BNE,Economy,8444
1991 W38,MEL-BNE,Economy,8066
1991 W39,MEL-BNE,Economy,7675
1991 W40,MEL-BNE,Economy,7320
1991 W41,MEL-BNE,Economy,7128
1991 W42,MEL-BNE,Economy,7418
1991 W43,MEL-BNE,Economy,6560
1991 W44,MEL-BNE,Economy,6141
1991 W45,MEL-BNE,Economy,6641
1991 W46,MEL-BNE,Economy,6915
1991 W47,MEL-BNE,Economy,6870
1991 W48,MEL-BNE,Economy,6767
1991 W49,MEL-BNE,Economy,6905
1991 W50,MEL-BNE,Economy,7062
1991 W51,MEL-BNE,Economy,8605
1991 W52,MEL-BNE,Economy,7494
1992 W01,MEL-BNE,Economy,7792
1992 W02,MEL-BNE,Economy,7700
1992 W03,MEL-BNE,Economy,7052
1992 W04,MEL-BNE,Economy,6054
1992 W05,MEL-BNE,Economy,6076
1992 W06,MEL-BNE,Economy,5529
1992 W07,MEL-BNE,Economy,6017
1992 W08,MEL-BNE,Economy,5972
1992 W09,MEL-BNE,Economy,5524
1992 W10,MEL-BNE,Economy,5841
1992 W11,MEL-BNE,Economy,6105
1992 W12,MEL-BNE,Economy,4919
1992 W13,MEL-BNE,Economy,4657
1992 W14,MEL-BNE,Economy,4863
1992 W15,MEL-BNE,Economy,5045
1992 W16,MEL-BNE,Economy,5246
1992 W17,MEL-BNE,Economy,5661
1992 W18,MEL-BNE,Economy,5539
1992 W19,MEL-BNE,Economy,5426
1992 W20,MEL-BNE,Economy,5468
1992 W21,MEL-BNE,Economy,5560
1992 W22,MEL-BNE,Economy,5961
1992 W23,MEL-BNE,Economy,5659
1992 W24,MEL-BNE,Economy,6400
1992 W25,MEL-BNE,Economy,7072
1992 W26,MEL-BNE,Economy,7932
1992 W27,MEL-BNE,Economy,7950
1992 W28,MEL-BNE,Economy,8125
1992 W29,MEL-BNE,Economy,7714
1992 W30,MEL-BNE,Economy,7047
1992 W31,MEL-BNE,Economy,7441
1992 W32,MEL-BNE,Economy,7469
1992 W33,MEL-BNE,Economy,7065
1992 W34,MEL-BNE,Economy,7339
1992 W35,MEL-BNE,Economy,6978
1992 W36,MEL-BNE,Economy,6984
1992 W37,MEL-BNE,Economy,8475
1992 W38,MEL-BNE,Economy,7960
1992 W39,MEL-BNE,Economy,9532
1992 W40,MEL-BNE,Economy,8400
1992 W41,MEL-BNE,Economy,8131
1992 W42,MEL-BNE,Economy,7492
1992 W43,MEL-BNE,Economy,7709
1992 W44,MEL-BNE,Economy,7134
1992 W45,MEL-BNE,Economy,7291
1992 W46,MEL-BNE,Economy,7372
1992 W47,MEL-BNE,Economy,7475
1987 W26,MEL-BNE,First,210
1987 W27,MEL-BNE,First,251
1987 W28,MEL-BNE,First,301
1987 W29,MEL-BNE,First,261
1987 W30,MEL-BNE,First,336
1987 W31,MEL-BNE,First,256
1987 W32,MEL-BNE,First,258
1987 W33,MEL-BNE,First,253
1987 W34,MEL-BNE,First,295
1987 W35,MEL-BNE,First,287
1987 W36,MEL-BNE,First,342
1987 W37,MEL-BNE,First,245
1987 W39,MEL-BNE,First,273
1987 W40,MEL-BNE,First,272
1987 W41,MEL-BNE,First,259
1987 W42,MEL-BNE,First,290
1987 W43,MEL-BNE,First,288
1987 W44,MEL-BNE,First,227
1987 W45,MEL-BNE,First,313
1987 W46,MEL-BNE,First,277
1987 W47,MEL-BNE,First,346
1987 W48,MEL-BNE,First,323
1987 W49,MEL-BNE,First,270
1987 W50,MEL-BNE,First,214
1987 W51,MEL-BNE,First,145
1987 W52,MEL-BNE,First,109
1987 W53,MEL-BNE,First,126
1988 W01,MEL-BNE,First,188
1988 W02,MEL-BNE,First,197
1988 W03,MEL-BNE,First,201
1988 W04,MEL-BNE,First,238
1988 W05,MEL-BNE,First,241
1988 W06,MEL-BNE,First,247
1988 W07,MEL-BNE,First,195
1988 W08,MEL-BNE,First,289
1988 W09,MEL-BNE,First,274
1988 W10,MEL-BNE,First,265
1988 W11,MEL-BNE,First,294
1988 W12,MEL-BNE,First,239
1988 W13,MEL-BNE,First,177
1988 W14,MEL-BNE,First,237
1988 W15,MEL-BNE,First,307
1988 W16,MEL-BNE,First,289
1988 W17,MEL-BNE,First,293
1988 W18,MEL-BNE,First,333
1988 W19,MEL-BNE,First,363
1988 W20,MEL-BNE,First,293
1988 W21,MEL-BNE,First,250
1988 W22,MEL-BNE,First,295
1988 W23,MEL-BNE,First,239
1988 W24,MEL-BNE,First,212
1988 W25,MEL-BNE,First,280
1988 W26,MEL-BNE,First,262
1988 W27,MEL-BNE,First,378
1988 W28,MEL-BNE,First,308
1988 W29,MEL-BNE,First,319
1988 W30,MEL-BNE,First,243
1988 W31,MEL-BNE,First,287
1988 W32,MEL-BNE,First,373
1988 W33,MEL-BNE,First,328
1988 W34,MEL-BNE,First,309
1988 W35,MEL-BNE,First,359
1988 W36,MEL-BNE,First,329
1988 W37,MEL-BNE,First,306
1988 W38,MEL-BNE,First,309
1988 W39,MEL-BNE,First,212
1988 W40,MEL-BNE,First,241
1988 W41,MEL-BNE,First,242
1988 W42,MEL-BNE,First,314
1988 W43,MEL-BNE,First,271
1988 W44,MEL-BNE,First,303
1988 W45,MEL-BNE,First,287
1988 W46,MEL-BNE,First,290
1988 W47,MEL-BNE,First,295
1988 W48,MEL-BNE,First,292
1988 W49,MEL-BNE,First,321
1988 W50,MEL-BNE,First,203
1988 W51,MEL-BNE,First,82
1988 W52,MEL-BNE,First,180
1989 W01,MEL-BNE,First,142
1989 W02,MEL-BNE,First,216
1989 W03,MEL-BNE,First,231
1989 W04,MEL-BNE,First,252
1989 W05,MEL-BNE,First,303
1989 W06,MEL-BNE,First,344
1989 W07,MEL-BNE,First,259
1989 W08,MEL-BNE,First,299
1989 W09,MEL-BNE,First,288
1989 W10,MEL-BNE,First,346
1989 W11,MEL-BNE,First,321
1989 W12,MEL-BNE,First,204
1989 W13,MEL-BNE,First,369
1989 W14,MEL-BNE,First,353
1989 W15,MEL-BNE,First,344
1989 W16,MEL-BNE,First,279
1989 W17,MEL-BNE,First,294
1989 W18,MEL-BNE,First,307
1989 W19,MEL-BNE,First,308
1989 W20,MEL-BNE,First,309
1989 W21,MEL-BNE,First,299
1989 W22,MEL-BNE,First,311
1989 W23,MEL-BNE,First,275
1989 W24,MEL-BNE,First,296
1989 W25,MEL-BNE,First,309
1989 W26,MEL-BNE,First,325
1989 W27,MEL-BNE,First,278
1989 W28,MEL-BNE,First,212
1989 W29,MEL-BNE,First,297
1989 W30,MEL-BNE,First,220
1989 W31,MEL-BNE,First,286
1989 W32,MEL-BNE,First,236
1989 W33,MEL-BNE,First,104
1989 W34,MEL-BNE,First,0
1989 W35,MEL-BNE,First,0
1989 W36,MEL-BNE,First,0
1989 W37,MEL-BNE,First,0
1989 W38,MEL-BNE,First,0
1989 W39,MEL-BNE,First,0
1989 W40,MEL-BNE,First,0
1989 W41,MEL-BNE,First,12
1989 W42,MEL-BNE,First,23
1989 W43,MEL-BNE,First,50
1989 W44,MEL-BNE,First,28
1989 W45,MEL-BNE,First,30
1989 W46,MEL-BNE,First,24
1989 W47,MEL-BNE,First,25
1989 W48,MEL-BNE,First,37
1989 W49,MEL-BNE,First,20
1989 W50,MEL-BNE,First,34
1989 W51,MEL-BNE,First,12
1989 W52,MEL-BNE,First,87
1990 W01,MEL-BNE,First,101
1990 W02,MEL-BNE,First,143
1990 W03,MEL-BNE,First,96
1990 W04,MEL-BNE,First,111
1990 W05,MEL-BNE,First,118
1990 W06,MEL-BNE,First,155
1990 W07,MEL-BNE,First,123
1990 W08,MEL-BNE,First,108
1990 W09,MEL-BNE,First,199
1990 W10,MEL-BNE,First,198
1990 W11,MEL-BNE,First,204
1990 W12,MEL-BNE,First,236
1990 W13,MEL-BNE,First,233
1990 W14,MEL-BNE,First,195
1990 W15,MEL-BNE,First,168
1990 W16,MEL-BNE,First,161
1990 W17,MEL-BNE,First,251
1990 W18,MEL-BNE,First,210
1990 W19,MEL-BNE,First,219
1990 W20,MEL-BNE,First,213
1990 W21,MEL-BNE,First,219
1990 W22,MEL-BNE,First,210
1990 W23,MEL-BNE,First,187
1990 W24,MEL-BNE,First,238
1990 W25,MEL-BNE,First,194
1990 W26,MEL-BNE,First,180
1990 W27,MEL-BNE,First,185
1990 W28,MEL-BNE,First,189
1990 W29,MEL-BNE,First,189
1990 W30,MEL-BNE,First,177
1990 W31,MEL-BNE,First,223
1990 W32,MEL-BNE,First,189
1990 W33,MEL-BNE,First,156
1990 W34,MEL-BNE,First,203
1990 W35,MEL-BNE,First,195
1990 W36,MEL-BNE,First,213
1990 W37,MEL-BNE,First,181
1990 W38,MEL-BNE,First,171
1990 W39,MEL-BNE,First,243
1990 W40,MEL-BNE,First,194
1990 W41,MEL-BNE,First,233
1990 W42,MEL-BNE,First,226
1990 W43,MEL-BNE,First,212
1990 W44,MEL-BNE,First,185
1990 W45,MEL-BNE,First,182
1990 W46,MEL-BNE,First,187
1990 W47,MEL-BNE,First,225
1990 W48,MEL-BNE,First,186
1990 W49,MEL-BNE,First,162
1990 W50,MEL-BNE,First,164
1990 W51,MEL-BNE,First,85
1990 W52,MEL-BNE,First,110
1991 W01,MEL-BNE,First,101
1991 W02,MEL-BNE,First,136
1991 W03,MEL-BNE,First,187
1991 W04,MEL-BNE,First,109
1991 W05,MEL-BNE,First,144
1991 W06,MEL-BNE,First,199
1991 W07,MEL-BNE,First,133
1991 W08,MEL-BNE,First,149
1991 W09,MEL-BNE,First,158
1991 W10,MEL-BNE,First,147
1991 W11,MEL-BNE,First,170
1991 W12,MEL-BNE,First,150
1991 W13,MEL-BNE,First,161
1991 W14,MEL-BNE,First,160
1991 W15,MEL-BNE,First,167
1991 W16,MEL-BNE,First,149
1991 W17,MEL-BNE,First,204
1991 W18,MEL-BNE,First,136
1991 W19,MEL-BNE,First,129
1991 W20,MEL-BNE,First,172
1991 W21,MEL-BNE,First,139
1991 W22,MEL-BNE,First,127
1991 W23,MEL-BNE,First,125
1991 W24,MEL-BNE,First,109
1991 W25,MEL-BNE,First,165
1991 W26,MEL-BNE,First,161
1991 W27,MEL-BNE,First,158
1991 W28,MEL-BNE,First,187
1991 W29,MEL-BNE,First,147
1991 W30,MEL-BNE,First,127
1991 W31,MEL-BNE,First,140
1991 W32,MEL-BNE,First,146
1991 W33,MEL-BNE,First,181
1991 W34,MEL-BNE,First,195
1991 W35,MEL-BNE,First,146
1991 W36,MEL-BNE,First,195
1991 W37,MEL-BNE,First,178
1991 W38,MEL-BNE,First,238
1991 W39,MEL-BNE,First,149
1991 W40,MEL-BNE,First,189
1991 W41,MEL-BNE,First,158
1991 W42,MEL-BNE,First,158
1991 W43,MEL-BNE,First,174
1991 W44,MEL-BNE,First,171
1991 W45,MEL-BNE,First,178
1991 W46,MEL-BNE,First,174
1991 W47,MEL-BNE,First,155
1991 W48,MEL-BNE,First,151
1991 W49,MEL-BNE,First,193
1991 W50,MEL-BNE,First,154
1991 W51,MEL-BNE,First,51
1991 W52,MEL-BNE,First,58
1992 W01,MEL-BNE,First,126
1992 W02,MEL-BNE,First,100
1992 W03,MEL-BNE,First,134
1992 W04,MEL-BNE,First,125
1992 W05,MEL-BNE,First,306
1992 W06,MEL-BNE,First,343
1992 W07,MEL-BNE,First,421
1992 W08,MEL-BNE,First,356
1992 W09,MEL-BNE,First,359
1992 W10,MEL-BNE,First,344
1992 W11,MEL-BNE,First,408
1992 W12,MEL-BNE,First,435
1992 W13,MEL-BNE,First,347
1992 W14,MEL-BNE,First,386
1992 W15,MEL-BNE,First,346
1992 W16,MEL-BNE,First,300
1992 W17,MEL-BNE,First,372
1992 W18,MEL-BNE,First,358
1992 W19,MEL-BNE,First,390
1992 W20,MEL-BNE,First,388
1992 W21,MEL-BNE,First,393
1992 W22,MEL-BNE,First,315
1992 W23,MEL-BNE,First,372
1992 W24,MEL-BNE,First,288
1992 W25,MEL-BNE,First,315
1992 W26,MEL-BNE,First,316
1992 W27,MEL-BNE,First,343
1992 W28,MEL-BNE,First,323
1992 W29,MEL-BNE,First,271
1992 W30,MEL-BNE,First,298
1992 W31,MEL-BNE,First,327
1992 W32,MEL-BNE,First,319
1992 W33,MEL-BNE,First,291
1992 W34,MEL-BNE,First,352
1992 W35,MEL-BNE,First,340
1992 W36,MEL-BNE,First,352
1992 W37,MEL-BNE,First,306
1992 W38,MEL-BNE,First,325
1992 W39,MEL-BNE,First,336
1992 W40,MEL-BNE,First,326
1992 W41,MEL-BNE,First,315
1992 W42,MEL-BNE,First,330
1992 W43,MEL-BNE,First,308
1992 W44,MEL-BNE,First,296
1992 W45,MEL-BNE,First,310
1992 W46,MEL-BNE,First,299
1992 W47,MEL-BNE,First,328
1989 W28,MEL-OOL,Business,31
1989 W29,MEL-OOL,Business,54
1989 W30,MEL-OOL,Business,47
1989 W31,MEL-OOL,Business,57
1989 W32,MEL-OOL,Business,72
1989 W33,MEL-OOL,Business,70
1989 W34,MEL-OOL,Business,0
1989 W35,MEL-OOL,Business,0
1989 W36,MEL-OOL,Business,0
1989 W37,MEL-OOL,Business,0
1989 W38,MEL-OOL,Business,0
1989 W39,MEL-OOL,Business,0
1989 W40,MEL-OOL,Business,0
1989 W41,MEL-OOL,Business,0
1989 W42,MEL-OOL,Business,0
1989 W44,MEL-OOL,Business,0
1989 W45,MEL-OOL,Business,0
1989 W46,MEL-OOL,Business,0
1989 W47,MEL-OOL,Business,0
1989 W48,MEL-OOL,Business,6
1989 W49,MEL-OOL,Business,0
1989 W50,MEL-OOL,Business,10
1989 W51,MEL-OOL,Business,31
1989 W52,MEL-OOL,Business,14
1990 W01,MEL-OOL,Business,69
1990 W02,MEL-OOL,Business,20
1990 W03,MEL-OOL,Business,15
1990 W04,MEL-OOL,Business,27
1990 W05,MEL-OOL,Business,19
1990 W06,MEL-OOL,Business,30
1990 W07,MEL-OOL,Business,29
1990 W08,MEL-OOL,Business,15
1990 W09,MEL-OOL,Business,49
1990 W10,MEL-OOL,Business,45
1990 W11,MEL-OOL,Business,35
1990 W12,MEL-OOL,Business,49
1990 W13,MEL-OOL,Business,25
1990 W14,MEL-OOL,Business,68
1990 W15,MEL-OOL,Business,64
1990 W16,MEL-OOL,Business,52
1990 W17,MEL-OOL,Business,54
1990 W18,MEL-OOL,Business,33
1990 W19,MEL-OOL,Business,23
1990 W20,MEL-OOL,Business,41
1990 W21,MEL-OOL,Business,50
1990 W22,MEL-OOL,Business,44
1990 W23,MEL-OOL,Business,53
1990 W24,MEL-OOL,Business,55
1990 W25,MEL-OOL,Business,30
1990 W26,MEL-OOL,Business,51
1990 W27,MEL-OOL,Business,59
1990 W28,MEL-OOL,Business,80
1990 W29,MEL-OOL,Business,49
1990 W30,MEL-OOL,Business,38
1990 W31,MEL-OOL,Business,47
1990 W32,MEL-OOL,Business,54
1990 W33,MEL-OOL,Business,57
1990 W34,MEL-OOL,Business,57
1990 W35,MEL-OOL,Business,35
1990 W36,MEL-OOL,Business,41
1990 W37,MEL-OOL,Business,62
1990 W38,MEL-OOL,Business,75
1990 W39,MEL-OOL,Business,58
1990 W40,MEL-OOL,Business,86
1990 W41,MEL-OOL,Business,49
1990 W42,MEL-OOL,Business,24
